venue_id,venue_name,venue_address,venue_live_busyness,venue_live_busyness_available,venue_forecasted_busyness,venue_forecast_busyness_available,venue_live_forecasted_delta,status
ven_514465396c5f543246615352637771664955656f5a39794a496843,Shopping Recife,"R. Padre Carapuceiro, 777 - Boa Viagem Recife - PE 51020-900 Brazil",70.0,True,65.0,True,5.0,OK
ven_3441397369545f496f414a526377715951366a444563524a496843,Praça do Marco Zero,Av. Alfredo Lisboa - Recife PE 50030-150 Brazil,55.0,True,55.0,True,0.0,OK
ven_6f626c642d456b497341645263777159385068783261614a496843,Parque da Jaqueira,"Av. Rui Barbosa, S/N - Graças Recife - PE 50050-290 Brazil",20.0,True,20.0,True,0.0,OK
ven_4979564e707842626e415952637771664d6262765877624a496843,Bode do Nô Boa Viagem - Restaurante,"Rua Dr. João Guilherme Pontes Sobrinho, 245 - Boa Viagem Recife - PE 51021-090 Brazil",65.0,True,100.0,True,-35.0,OK
ven_5134677862617a527a46615263777159513637726151334a496843,Rock & Ribs Lounge - Marco Zero,"Av. Alfredo Lisboa, S/N - Loja 11 Arm 12 - Recife PE 50030-150 Brazil",45.0,True,85.0,True,-40.0,OK
ven_414b76434a516f7738516c5263777159454c42495230504a496843,Catamaran Tours - Passeios em Pernambuco,"Cais Santa Rita, s/n - São José Recife - PE 50020-360 Brazil",,False,0.0,True,,Error
ven_6b33673467314c4f582d5152637771666f6363436b7a574a496843,Entre Amigos O Bode,"R. Marquês de Valença, 50 - Boa Viagem Recife - PE 51021-500 Brazil",70.0,True,95.0,True,-25.0,OK
ven_555041426977656478415352637771664131656e6a595f4a496843,Tatu Bola Bar,"Av. Herculano Bandeira, 21 - Pina Recife - PE 51011-000 Brazil",70.0,True,65.0,True,5.0,OK
ven_596a4b5a6755496b5778365263777159457379526479474a496843,Entre Amigos Praia,"Av. Boa Viagem, 760 - Boa Viagem Recife - PE 51011-000 Brazil",70.0,True,80.0,True,-10.0,OK
ven_4174333164776f4336465452637771595136383965336b4a496843,Seu Boteco,"Av. Alfredo Lisboa, s/n - Recife PE 50030-150 Brazil",10.0,True,55.0,True,-45.0,OK
ven_73346b49665643636f3353526377715a6f71537730626d4a496843,Recanto Paraibano,"Av. Dezessete de Agosto, 248 - Parnamirim Recife - PE 52060-590 Brazil",45.0,True,85.0,True,-40.0,OK
ven_6f36793531744e5633676252637771596746546f4c78634a496843,Bar do Tonhão,"R. Amaro Coutinho, 339 - Encruzilhada Recife - PE 52041-160 Brazil",20.0,True,15.0,True,5.0,OK
ven_493753316458414d7a3565526377715955714b38755a654a496843,Bodega de Véio - Recife Antigo,"R. Mariz e Barros, 328 - Recife PE 50030-120 Brazil",40.0,True,95.0,True,-55.0,OK
ven_454f6f544d58687569557a5263777166635f76746e2d424a496843,Luciano Bar,"R. Clotilde Machado, 33 - Ipsep Recife - PE 51350-210 Brazil",100.0,True,90.0,True,10.0,OK
ven_414d4d4a6162766d696f3452637771666336424662616e4a496843,Cia do Chopp,"Av. Conselheiro Aguiar, 2775 - Boa Viagem Recife - PE 51020-020 Brazil",55.0,True,85.0,True,-30.0,OK
ven_7338734d36626431375635526377715a306a644770564b4a496843,Sala de Reboco,"R. Gregório Júnior, 264 - Cordeiro Recife - PE 50630-245 Brazil",50.0,True,65.0,True,-15.0,OK
ven_384c4974687a444a31504f52637771664951614d5562434a496843,Boteco do Seu Zé,"Av. São Paulo, 545 - Jardim São Paulo Recife - PE 50781-600 Brazil",100.0,True,95.0,True,5.0,OK
ven_635963397454396c704f535263777166633257584733414a496843,Seu Tito Praia,"R. Artur Muniz, 82 - Boa Viagem Recife - PE 51111-190 Brazil",70.0,True,85.0,True,-15.0,OK
ven_306a47744a774d6e31523452637771666771704f6f36714a496843,BeerDock Boa Viagem,"Rua Professor Eduardo Wanderley Filho, 242 - Boa Viagem Recife - PE 51020-170 Brazil",70.0,True,70.0,True,0.0,OK
ven_736d61616f5569784a31455263777159514f39437366444a496843,Boteco Porto Ferreiro,"Av. Rui Barbosa, 458 - Graças Recife - PE 52011-040 Brazil",35.0,True,75.0,True,-40.0,OK
ven_6341766854474a635a556c5263777159675058664554354a496843,Seu Pêu Gastropub,"R. Carneiro Viléla, 665 - Aflitos Recife - PE 52050-030 Brazil",35.0,True,85.0,True,-50.0,OK
ven_554b374e756a4f3975754d5263777159454d42555879354a496843,Restaurante Mustang,"R. José de Alencar, 44 - Boa Vista Recife - PE 50070-075 Brazil",,False,90.0,True,,Error
ven_49496f596d643751764b4d52637771597350507948306e4a496843,Cachaçaria Tradição,"R. Amélia, 422 - Graças Recife - PE 52011-050 Brazil",40.0,True,50.0,True,-10.0,OK
ven_34355543434c4e6a7034315263777169637258694d326b4a496843,Manny Deck Bar,"R. do Sol, 468 - Carmo Olinda - PE 53120-000 Brazil",50.0,True,40.0,True,10.0,OK
ven_34733246316d424f333867526377715a6371543255344a4a496843,Bar Real Botequim,"Av. Dezessete de Agosto, 1761 - Casa Forte Recife - PE 52061-900 Brazil",100.0,True,95.0,True,5.0,OK
ven_4d56375362503034666b4e52637771595155536f7351334a496843,Marcello's Music Bar,"R. Bom Conselho, 40 - Arruda Recife - PE 52120-200 Brazil",100.0,True,65.0,True,35.0,OK
ven_633337553872624e326e7a526377715a7754754f5556564a496843,Léo Chopp Prado,"R. Gomes Taborda, 750 - Cordeiro Recife - PE 50630-250 Brazil",100.0,True,85.0,True,15.0,OK
ven_5157716b5f6f7733796a6252637771654d5a4a474c386a4a496843,Esquina do Malte,"Av. Ten. Felipe Bandeira de Melo, 97 - Areias Recife - PE 50870-070 Brazil",85.0,True,100.0,True,-15.0,OK
ven_347339726d614175623366526377715a73766d534d5f5a4a496843,Seu Zé Madalena,"Av. Visc. de Albuquerque, 753 - Madalena Recife - PE 50610-090 Brazil",55.0,True,80.0,True,-25.0,OK
ven_41355a41385465324864725263777169513675554f5a6d4a496843,Selling Your Biu,"Rua 27 de Janeiro, 32 - Carmo Olinda - PE 53020-020 Brazil",,False,,False,,error
ven_34386b37324a42564c7832526377715a453046504e59334a496843,Liamba,"R. Fernando Lopes, 78 - Graças Recife - PE 52011-220 Brazil",50.0,True,50.0,True,0.0,OK
ven_51727a68415946585f354b526377715a597742554c7a764a496843,The People Restô Bar,"R. Confederação do Equador, 55 - Graças Recife - PE 52011-060 Brazil",95.0,True,100.0,True,-5.0,OK
ven_4d3472516764353279534c5263777166384b4e746779514a496843,Manhattan Café Theatro,"R. Francisco da Cunha, 881 - Boa Viagem Recife - PE 51020-041 Brazil",25.0,True,65.0,True,-40.0,OK
ven_63575a324641454c4a704a526377715a5171476f3279594a496843,Boteco Ferro & Fogo,"Estr. do Encanamento, 1400 - Casa Forte Recife - PE 52061-020 Brazil",100.0,True,85.0,True,15.0,OK
ven_384d475144695472486f755263777159417a4c5037784c4a496843,clube assistencial esportivo bela vista,"Av. Aníbal Benévolo, 636 - Água Fria Recife - PE 52131-000 Brazil",90.0,True,75.0,True,15.0,OK
ven_6f2d4c633538545f5a5f2d5263777159556155484d56484a496843,Warehouse 14 Itaipava's,"Av. Alfredo Lisboa, s/n - Recife PE 50020-360 Brazil",30.0,True,80.0,True,-50.0,OK
ven_552d382d4754636236576452637771695136737a44646c4a496843,Pitombeira Four Corners,"Rua 27 de Janeiro, 128 - Carmo Olinda - PE 53020-020 Brazil",80.0,True,40.0,True,40.0,OK
ven_6f724d6444346967463861526377715a55566f7639526d4a496843,Mamute Beer,"Av. Beira Rio, 1313 - Madalena Recife - PE 50710-110 Brazil",85.0,True,75.0,True,10.0,OK
ven_5962366361534a5472537852637771596366416f62654f4a496843,Ursa Bar,"R. Quarenta e Oito, 197 - Espinheiro Recife - PE 52020-060 Brazil",100.0,True,95.0,True,5.0,OK
ven_73465a5163333563446b34526377715a676d5368722d694a496843,🍻Meu Amado botequim 🧆,"Av. José Gonçalves de Medeiros, 138 - Madalena Recife - PE 50720-575 Brazil",75.0,True,90.0,True,-15.0,OK
ven_417474615f737978344d5f526377715a55704b6b355f484a496843,Boteco do Bêu - @botecodobeu,"R. da Regeneração, 701 - Água Fria Recife - PE 52120-335 Brazil",100.0,True,90.0,True,10.0,OK
ven_4135314b464b6836386e5a526377715a4172624838356c4a496843,All - Bar Espinheiro,"R. Barão de Itamaracá, 10 - Espinheiro Recife - PE 52020-070 Brazil",100.0,True,100.0,True,0.0,OK
ven_497446446445676c6b6c6e526377715a51416a6f30316d4a496843,Frege,"Av. Rio Branco, 155 - Recife PE 50030-310 Brazil",15.0,True,45.0,True,-30.0,OK
